,lat,lon
3rd Block HBR Layout,13.0279415,77.6282197
Nagavarapalya,12.9933837,77.6640524
Hongasandra,12.8974892,77.6250869
Harappanahalli,12.7904755,77.6226863
Kanaka Nagar,13.0374105,77.6082063
Tasker Town,12.9801622,77.605818
NR Colony,12.9388164,77.568326
Agara Village,12.8446015,77.4879398
Shettigere,13.1954297,77.649453
BEL Road,13.0448009,77.5568571
Doddabommasandra,13.0599082,77.5591641
Maruthi Layout,13.0870666,77.6199681
Tunganagara,12.985503,77.485068
BTM 2nd Stage,12.9140788,77.6188862
Chokkasandra,13.0269458,77.5175216
Panduranga Nagar,12.8930758,77.5961351
Jakkur Plantation,13.0834599,77.5980019
Sir M V Nagar,12.9312736,77.5704231
1st Block Koramangala,12.9251488,77.6349571
Hoskote,13.0318443,77.7618779
Attiguppe,12.9618581,77.5335932
Yemlur,12.9438959,77.6783535
Race Course Road,12.983748,77.5804568
Gkvk Layout,13.0827075,77.6034629
St. John's Road,12.9836431,77.6136597
Doopanahalli,12.9674584,77.6396382
Doddaballapur,13.2929583,77.5431463
Sathanur,13.0735244,77.6214579
kanakapura road,12.8591407,77.5284991
Kaveri Nagar,13.0326126,77.6096168
Nelamangala,13.0979667,77.3945591
Alfa Garden Layout,12.9684751,77.5981066
Gowdanapalya,12.9114769,77.5556691
Hoodi Layout,12.9959233,77.7192796
5th block Koramangala,12.9332863,77.6147149
Gunjur Palya,12.9228378,77.7188315
Upkar Layout,12.9607352,77.4831822
Sunkadakatte,12.995024,77.5065272
Someshwara Layout,12.9035976,77.6938015
Channasandra Layout,12.9873426,77.7538033
HAL 3rd Stage,12.9715338,77.6497819
Doctors Layout,13.0053365,77.6581854
Austin Town,12.9612736,77.6152935
Rajagopala Nagar,13.0123112,77.5138611
Vishwapriya Nagar,12.9382027,77.5235528
Sarakki Nagar,12.9017016,77.5857953
Bahubali Nagar,13.0450669,77.5492146
Nandini Layout,13.0119743,77.5348261
B Channasandra,13.0099152,77.6602721
Dollars Colony,13.0413668,77.5678155
Arehalli,12.9084491,77.537781
Cambridge  road,12.9649217,77.6281487
Hennur Gardens,13.0376905,77.6432902
Thyagaraja Nagar,12.931392,77.5683011
Bharathi Nagar,12.9891583,77.6117355
SRINIVASAPURA,13.1062092,77.6239014
Cambridge Layout,13.0076285,77.7258775
ittamadu,12.9250047,77.5444573
Doddakannelli,12.9115381,77.6934164
"Thanisandra Main Road,",13.0422158,77.6250771
Amruthnagar,13.0569904,77.5981092
Palace Guttahalli,12.999489,77.5843469
BCC Layout,12.955703,77.5313329
Mathikere,13.0333587,77.5581786
Friends Colony,12.9634532,77.6569219
Sri Balaji Krupa Layout,12.8732692,77.6460654
Bidadi,12.790642,77.3772825
Sampige Layout,12.9764697,77.528243
Virgonagar,13.0380847,77.7363305
Rajiv Gandhi Nagar,13.0702555,77.5838453
Kurubarahalli,13.0008414,77.5359036
Sector 4 HSR Layout,12.9144684,77.6418499
Vyalikaval,13.0042636,77.5751704
"Banaswadi,",13.0141618,77.6518539
Thavarekere,12.9251875,77.6088054
HAL 2nd Stage,12.9689409,77.6437106
Tippenahalli,13.0368275,77.4882249
Prestige Sunrise,12.8334817,77.6631176
1st Stage Indira Nagar,12.9778289,77.6386575
BDS Layout,13.0657342,77.6429906
Shanthi Layout,13.0162427,77.6832961
Keerthi Layout,12.7963302,77.7101094
Shikaripalya,12.8359685,77.6571728
4th T block Jayanagar,12.9308337,77.5913531
Hagadur,12.9649058,77.7558386
Popular Colony,12.8871258,77.5821622
Soundarya Layout,13.066906,77.4967968
Pattanagere,12.9200602,77.506701
Dollars Layout,12.9040098,77.5955558
Chikkabettahalli,13.0894554,77.556171
Bhuvaneswari Nagar,13.0547459,77.6024403
Varanasi,13.0304962,77.6860657
Gopal Reddy Layout,12.9690025,77.6934988
T c palya,13.0215083,77.7000989
Dhanalakshmi Layout,12.9685194,77.5382142
Nobo Nagar,12.8679232,77.5962356
Kanakapura Road,12.8591407,77.5284991
Kadubeesanahalli,12.938965,77.6964066
Green Domain Layout,12.9728468,77.7148942
Cleveland Town,12.9940417,77.6116055
Syndicate Bank Colony,12.9798772,77.5286425
"Off Sarjapur road,",12.9098272,77.6878438
M C Layout,12.9730957,77.5353937
Nanjappa Layout,13.0684259,77.557228
BEL Layout,13.0729675,77.554357
Jyothi Nagar,12.8641456,77.5817188
Tata Nagar,12.9500234,77.593064
RK Layout 2nd Stage,13.0274554,77.5772913
Raghuvanahalli,13.0850111,77.7600477
Geddalahalli,13.0486343,77.6446688
Brindavan Nagar,12.9740894,77.6086376
Palace Road,12.9904884,77.5886054
Domlur Layout,12.9644251,77.6349677
Vijaya Bank Layout,12.8929425,77.6077625
Narayanappa Layout,12.9012546,77.7095639
Wilson Garden,12.9489339,77.5968273
Challaghatta,12.9451006,77.651534
Indira Nagar 3rd Stage,12.9778289,77.6386575
KR Garden,12.9549208,77.6565969
Kanakadasa Layout,12.9823009,77.5896603
Mallathahalli,12.9623214,77.5057232
Jayamahal Extension,13.0011064,77.5969579
Sahyadri Layout,12.9064193,77.5633803
Mathikere SBM colony,13.0372442,77.5566011
Bagalur,13.0079918,77.6184726
Vinayak Nagar,13.0027006,77.5661583
P Krishnappa Layout,12.9070818,77.6929357
Crimson Layout,12.9799554,77.7109706
Hanumantha Nagar,12.940641,77.5635429
Bagalakunte,13.0536306,77.5019671
Lavelle Road,12.9749682,77.5997302
Goraguntepalya,13.0283296,77.5409814
Rajankunte,13.1728564,77.5653079
6th Block Rajaji Nagar,12.9955855,77.5493791
MLA Layout,13.0418249,77.5638494
Kyalasanahalli,13.0564575,77.6591321
Siddapura,12.9542596,77.7309743
Nagadevanahalli,12.9395391,77.4954936
Rajarajeshwari Nagara,12.910823,77.5207892
Celebrity Paradise Layout,12.8481732,77.6531976
St Thomas Town,13.0065573,77.6224071
Banashankari 2nd Stage,12.9268667,77.5637191
Kamala Nagar,12.9719282,77.5380966
Marenahalli,12.9182594,77.5916651
Nagawara Junction,13.045532,77.6268185
Maithri Layout,12.9848621,77.7559192
Nanjappa Garden,13.0234077,77.6504121
Geetanjali Layout,12.9767102,77.6547468
1st Stage Domlur,12.959142,77.6377909
Kalhalli,12.8803569,77.7708542
Hadosiddapura,12.8964727,77.7014674
Vijaya Bank Colony,12.8934265,77.6097166
Lakkasandra,12.9432228,77.5997061
"JP Nagar 8th Phase,",12.9141803,77.5950261
Kachanayakanahalli,12.7990299,77.6830517
6th block Koramangala,12.9363256,77.6222355
"JP nagar 9th Phase,",12.8681419,77.5628221
4th Block Jayanagar,12.9265737,77.5835041
Kuvempu Nagar,12.9144469,77.6137532
Canara Bank Colony,12.9311905,77.5908939
Hanumagiri,12.9180648,77.5363702
Seshadripuram,12.9931876,77.5753419
Anand nagar,13.0346991,77.5944561
West of Chord Road,12.9988263,77.5475363
Junnasandra,12.9064203,77.6835161
Handenahalli,12.8259815,77.7673455
manyata tech park,13.0482891,77.6211004
SMV layout,12.8819431,77.6728073
"Near Electronic City,",12.9984475,77.5423888
Banashankari stage 2,12.925475,77.5702105
Chikkadunnasandra,12.8501962,77.7742942
Gattigere,12.9202077,77.5255006
Cottonpet,12.9650246,77.5700688
Kannur,13.1014045,77.6356543
Sampangi Rama Nagar,12.9666076,77.5925094
BEML Layout 5th stage,12.9083587,77.5209058
Pragathi Nagar,13.0025983,76.1085645
Ramesh Nagar,12.9633466,77.6800333
A Narayanapura,12.9930799,77.6753587
Rajarajeshwari nagar,12.9274413,77.5155224
